,imonth,success,attacktype1,latitude,longitude,attacktype1_txt,targtype1,targtype1_txt,weaptype1,weaptype1_txt
10220,4,0,3,18.39136,81.65856099999998,Bombing/Explosion,20,Unknown,6,Explosives/Bombs/Dynamite
10221,4,1,2,33.872917,74.89412800000002,Armed Assault,3,Police,5,Firearms
10222,4,1,2,29.12145,78.621022,Armed Assault,3,Police,5,Firearms
10223,4,1,3,18.794361,81.62575,Bombing/Explosion,3,Police,6,Explosives/Bombs/Dynamite
10224,4,0,3,24.78247,93.922193,Bombing/Explosion,2,Government (General),6,Explosives/Bombs/Dynamite
10225,4,1,3,25.985899,90.786828,Bombing/Explosion,22,Violent Political Party,6,Explosives/Bombs/Dynamite
10226,4,1,3,19.859451,81.148586,Bombing/Explosion,3,Police,6,Explosives/Bombs/Dynamite
10227,4,0,3,24.615983,94.007756,Bombing/Explosion,1,Business,6,Explosives/Bombs/Dynamite
10228,4,1,3,24.823897,93.931776,Bombing/Explosion,2,Government (General),6,Explosives/Bombs/Dynamite
10229,4,1,3,24.780654,93.967437,Bombing/Explosion,2,Government (General),6,Explosives/Bombs/Dynamite
10230,4,1,2,30.927015,76.04518,Armed Assault,14,Private Citizens & Property,5,Firearms
10231,4,1,6,19.593249,81.6639,Hostage Taking (Kidnapping),14,Private Citizens & Property,13,Unknown
10232,4,1,6,21.882117,80.576791,Hostage Taking (Kidnapping),2,Government (General),5,Firearms
10233,4,0,2,34.526387,74.256614,Armed Assault,4,Military,5,Firearms
10235,4,1,6,22.127865,82.993434,Hostage Taking (Kidnapping),14,Private Citizens & Property,9,Melee
10236,4,1,6,19.59336,81.663485,Hostage Taking (Kidnapping),14,Private Citizens & Property,9,Melee
10237,4,1,3,18.141779,82.686789,Bombing/Explosion,3,Police,6,Explosives/Bombs/Dynamite
10238,4,0,3,24.031944,85.277222,Bombing/Explosion,8,Educational Institution,6,Explosives/Bombs/Dynamite
10239,4,0,3,20.279055,80.99216899999998,Bombing/Explosion,20,Unknown,6,Explosives/Bombs/Dynamite
10240,4,1,9,18.463928,82.543239,Unknown,14,Private Citizens & Property,13,Unknown
10241,4,1,8,25.05455,83.67739300000002,Unarmed Assault,10,Journalists & Media,9,Melee
10242,4,1,3,24.19173,86.299815,Bombing/Explosion,3,Police,6,Explosives/Bombs/Dynamite
10243,4,1,3,13.206952,79.098569,Bombing/Explosion,2,Government (General),6,Explosives/Bombs/Dynamite
